Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes,
516,9,Oct 25 2014,12:00 PM,Sat,Minnesota,,@,Illinois,,ESPN ESPN 2 ABC or BTN,,Game Tickets
517,9,Oct 25 2014,7:05 PM,Sat,(3) Mississippi,,@,Louisiana State,,ESPN ESPN 2 or SEC Net,,Game Tickets
518,9,Oct 25 2014,3:30 PM,Sat,(1) Mississippi State,,@,Kentucky,,CBS,,Game Tickets
519,9,Oct 25 2014,11:59 PM,Sat,Nevada,,@,Hawaii,,Oceanic Pay-Per-View,,
520,9,Oct 25 2014,4:00 PM,Sat,Nevada-Las Vegas,,@,Utah State,,ESPNews,,
521,9,Oct 25 2014,12:30 PM,Sat,North Carolina,,@,Virginia,,ACC Network,,Game Tickets
522,9,Oct 25 2014,12:00 PM,Sat,North Texas,,@,Rice,,FSN,,Game Tickets
523,9,Oct 25 2014,1:00 PM,Sat,Northern Illinois,,@,Eastern Michigan,,ESPN3.com,,
524,9,Oct 25 2014,2:00 PM,Sat,Ohio,,@,Western Michigan,,,,
525,9,Oct 25 2014,8:00 PM,Sat,(13) Ohio State,,@,Penn State,,ABC ESPN or ESPN 2,,Game Tickets
526,9,Oct 25 2014,4:00 PM,Sat,Old Dominion,,@,Western Kentucky,,CUSA Digital,,
527,9,Oct 25 2014,3:30 PM,Sat,Oregon State,,@,(23) Stanford,,,,Game Tickets
528,9,Oct 25 2014,12:00 PM,Sat,Rutgers,,@,(19) Nebraska,,ESPN ESPN 2 or ESPN U,,Game Tickets
529,9,Oct 25 2014,1:00 PM,Sat,San Jose State,,@,Navy,,CBSSN,,Game Tickets
530,9,Oct 25 2014,7:05 PM,Sat,South Carolina,,@,(6) Auburn,,ESPN ESPN 2 or SEC Net,,Game Tickets
531,9,Oct 25 2014,10:00 PM,Sat,(22) Southern California,,@,(20) Utah,,FS1,,Game Tickets
532,9,Oct 25 2014,7:00 PM,Sat,Syracuse,,@,(24) Clemson,,ESPN U,,Game Tickets
533,9,Oct 25 2014,5:00 PM,Sat,Temple,,@,Central Florida,,CBSSN,,Game Tickets
534,9,Oct 25 2014,12:00 PM,Sat,Texas,,@,(14) Kansas State,,ESPN ESPN 2 or ESPN U,,Game Tickets
535,9,Oct 25 2014,7:00 PM,Sat,Texas State,,@,Louisiana-Monroe,,,,
536,9,Oct 25 2014,3:30 PM,Sat,Texas Tech,,@,(12) Texas Christian,,FOX,,Game Tickets
537,9,Oct 25 2014,7:00 PM,Sat,Texas-El Paso,,@,Texas-San Antonio,,Sinclair ASN,,
538,9,Oct 25 2014,2:00 PM,Sat,UCLA,,@,Colorado,,Pac-12 Network,,Game Tickets
539,9,Oct 25 2014,4:00 PM,Sat,Vanderbilt,,@,Missouri,,SEC Network,,Game Tickets
540,9,Oct 25 2014,3:30 PM,Sat,West Virginia,,@,(15) Oklahoma State,,ABC ESPN or ESPN 2,,Game Tickets
541,9,Oct 25 2014,7:00 PM,Sat,Wyoming,,@,Colorado State,,ROOT Sports,,Game Tickets
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes,
542,10,Oct 30 2014,7:30 PM,Thu,(2) Florida State,,@,Louisville,,ESPN,,Game Tickets
543,10,Oct 30 2014,7:30 PM,Thu,Troy,,@,Georgia Southern,,ESPN U,,
544,10,Oct 31 2014,8:00 PM,Fri,Cincinnati,,@,Tulane,,ESPN 2 or ESPN U,,Game Tickets
545,10,Oct 31 2014,8:00 PM,Fri,Tulsa,,@,Memphis,,ESPN or ESPN U,,Game Tickets
546,10,Nov 1 2014,11:30 AM,Sat,Air Force,,@,Army,,CBS,,Game Tickets
547,10,Nov 1 2014,7:00 PM,Sat,Alabama-Birmingham,,@,Florida Atlantic,,Sinclair,,Game Tickets
548,10,Nov 1 2014,7:05 PM,Sat,(16) Arizona,,@,UCLA,,,,Game Tickets
549,10,Nov 1 2014,7:05 PM,Sat,Arkansas,,@,(1) Mississippi State,,,,Game Tickets
550,10,Nov 1 2014,5:00 PM,Sat,Arkansas State,,@,Idaho,,,,Game Tickets
551,10,Nov 1 2014,7:05 PM,Sat,(6) Auburn,,@,(3) Mississippi,,,,Game Tickets
552,10,Nov 1 2014,7:05 PM,Sat,Boston College,,@,Virginia Tech,,,,Game Tickets
553,10,Nov 1 2014,3:30 PM,Sat,Brigham Young,,@,Middle Tennessee State,,CBSSN,,
554,10,Nov 1 2014,7:05 PM,Sat,California,,@,Oregon State,,,,Game Tickets
555,10,Nov 1 2014,7:05 PM,Sat,Central Florida,,@,Connecticut,,,,
556,10,Nov 1 2014,7:05 PM,Sat,Central Michigan,,@,Eastern Michigan,,,,Game Tickets
557,10,Nov 1 2014,7:00 PM,Sat,Colorado State,,@,San Jose State,,CBSSN,,Game Tickets
558,10,Nov 1 2014,7:05 PM,Sat,Duke,,@,Pittsburgh,,,,Game Tickets
559,10,Nov 1 2014,7:05 PM,Sat,(18) East Carolina,,@,Temple,,,,Game Tickets
560,10,Nov 1 2014,3:30 PM,Sat,Florida,,,(10) Georgia,,CBS,EverBank Field - Jacksonville FL,
561,10,Nov 1 2014,7:05 PM,Sat,Georgia State,,@,Appalachian State,,,,Game Tickets
562,10,Nov 1 2014,7:05 PM,Sat,Houston,,@,South Florida,,,,Game Tickets
563,10,Nov 1 2014,8:00 PM,Sat,Illinois,,@,(13) Ohio State,,ABC ESPN or ESPN2,,Game Tickets
564,10,Nov 1 2014,3:30 PM,Sat,Indiana,,@,Michigan,,,,Game Tickets
565,10,Nov 1 2014,7:05 PM,Sat,Kansas,,@,(4) Baylor,,,,Game Tickets
566,10,Nov 1 2014,7:05 PM,Sat,Kentucky,,@,Missouri,,,,Game Tickets
567,10,Nov 1 2014,7:05 PM,Sat,Louisiana-Monroe,,@,(21) Texas A&M,,,,
568,10,Nov 1 2014,7:05 PM,Sat,Maryland,,@,Penn State,,,,Game Tickets
569,10,Nov 1 2014,8:00 PM,Sat,Navy,,,(5) Notre Dame,,CBS,FedEx Field - Landover MD,
570,10,Nov 1 2014,5:30 PM,Sat,New Mexico,,@,Nevada-Las Vegas,,ROOT Sports,,Game Tickets
571,10,Nov 1 2014,7:05 PM,Sat,North Carolina,,@,Miami (FL),,,,Game Tickets
572,10,Nov 1 2014,7:05 PM,Sat,North Carolina State,,@,Syracuse,,,,Game Tickets
573,10,Nov 1 2014,7:05 PM,Sat,Northwestern,,@,Iowa,,,,Game Tickets
574,10,Nov 1 2014,7:05 PM,Sat,(11) Oklahoma,,@,Iowa State,,,,Game Tickets
575,10,Nov 1 2014,7:05 PM,Sat,(15) Oklahoma State,,@,(14) Kansas State,,,,Game Tickets
576,10,Nov 1 2014,7:05 PM,Sat,Old Dominion,,@,Vanderbilt,,,,Game Tickets
577,10,Nov 1 2014,7:05 PM,Sat,Purdue,,@,(19) Nebraska,,,,Game Tickets
578,10,Nov 1 2014,12:00 PM,Sat,Rice,,@,Florida International,,American Sports Network,,Game Tickets
579,10,Nov 1 2014,10:30 PM,Sat,San Diego State,,@,Nevada,,CBSSN,,Game Tickets
580,10,Nov 1 2014,7:05 PM,Sat,South Alabama,,@,Louisiana-Lafayette,,,,
581,10,Nov 1 2014,7:05 PM,Sat,(22) Southern California,,@,Washington State,,,,Game Tickets
582,10,Nov 1 2014,8:00 PM,Sat,Southern Mississippi,,@,Texas-El Paso,,FCS,,
583,10,Nov 1 2014,7:05 PM,Sat,(23) Stanford,,@,(9) Oregon,,,,Game Tickets
584,10,Nov 1 2014,7:05 PM,Sat,Tennessee,,@,South Carolina,,,,Game Tickets
585,10,Nov 1 2014,7:05 PM,Sat,Texas,,@,Texas Tech,,,,Game Tickets
586,10,Nov 1 2014,7:05 PM,Sat,(12) Texas Christian,,@,West Virginia,,,,Game Tickets
587,10,Nov 1 2014,8:00 PM,Sat,Texas State,,@,New Mexico State,,,,
588,10,Nov 1 2014,7:05 PM,Sat,(20) Utah,,@,(17) Arizona State,,,,Game Tickets
589,10,Nov 1 2014,11:00 PM,Sat,Utah State,,@,Hawaii,,,,Game Tickets
590,10,Nov 1 2014,7:05 PM,Sat,Virginia,,@,Georgia Tech,,,,Game Tickets
591,10,Nov 1 2014,7:05 PM,Sat,Washington,,@,Colorado,,,,Game Tickets
592,10,Nov 1 2014,7:05 PM,Sat,Western Kentucky,,@,Louisiana Tech,,FS1 or FSN,,
593,10,Nov 1 2014,7:05 PM,Sat,Western Michigan,,@,Miami (OH),,,,
594,10,Nov 1 2014,12:00 PM,Sat,Wisconsin,,@,Rutgers,,,,Game Tickets
595,10,Nov 1 2014,7:05 PM,Sat,Wyoming,,@,Fresno State,,ESPN Networks,,Game Tickets
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes,
596,11,Nov 4 2014,8:00 PM,Tue,Bowling Green State,,@,Akron,,ESPN 2 or ESPN U,,
597,11,Nov 4 2014,8:00 PM,Tue,Toledo,,@,Kent State,,ESPN 2 or ESPN U,,
598,11,Nov 5 2014,8:00 PM,Wed,Buffalo,,@,Ohio,,ESPN 2 or ESPN U,,Game Tickets
599,11,Nov 5 2014,8:00 PM,Wed,Northern Illinois,,@,Ball State,,ESPN 2 or ESPN U,,
600,11,Nov 6 2014,7:30 PM,Thu,(24) Clemson,,@,Wake Forest,,ESPN,,Game Tickets
601,11,Nov 7 2014,7:30 PM,Fri,Memphis,,@,Temple,,ESPN U,,Game Tickets
602,11,Nov 7 2014,8:00 PM,Fri,Utah State,,@,Wyoming,,ESPN 2,,Game Tickets
603,11,Nov 8 2014,4:00 PM,Sat,Air Force,,@,Nevada-Las Vegas,,Mountain West Network,,Game Tickets
604,11,Nov 8 2014,7:05 PM,Sat,(7) Alabama,,@,Louisiana State,,,,Game Tickets
605,11,Nov 8 2014,7:05 PM,Sat,(4) Baylor,,@,(11) Oklahoma,,,,Game Tickets
606,11,Nov 8 2014,7:00 PM,Sat,Boise State,,@,New Mexico,,CBSSN,,Game Tickets
607,11,Nov 8 2014,7:05 PM,Sat,Colorado,,@,(16) Arizona,,,,Game Tickets
608,11,Nov 8 2014,3:30 PM,Sat,Connecticut,,,Army,,CBSSN,Yankee Stadium - Bronx NY,
609,11,Nov 8 2014,7:05 PM,Sat,Duke,,@,Syracuse,,,,Game Tickets
610,11,Nov 8 2014,7:05 PM,Sat,Florida,,@,Vanderbilt,,,,Game Tickets
611,11,Nov 8 2014,7:00 PM,Sat,Florida Atlantic,,@,North Texas,,FCS,,
612,11,Nov 8 2014,3:30 PM,Sat,Florida International,,@,Old Dominion,,American Sports Network,,Game Tickets
613,11,Nov 8 2014,7:05 PM,Sat,(10) Georgia,,@,Kentucky,,,,Game Tickets
614,11,Nov 8 2014,7:05 PM,Sat,Georgia Southern,,@,Texas State,,,,
615,11,Nov 8 2014,3:00 PM,Sat,Georgia State,,@,Troy,,,,
616,11,Nov 8 2014,7:05 PM,Sat,Georgia Tech,,@,North Carolina State,,,,Game Tickets
617,11,Nov 8 2014,7:05 PM,Sat,Hawaii,,@,Colorado State,,ESPN Networks,,Game Tickets
618,11,Nov 8 2014,6:30 PM,Sat,Idaho,,@,San Diego State,,ROOT Sports,,Game Tickets
619,11,Nov 8 2014,7:05 PM,Sat,Iowa,,@,Minnesota,,,,Game Tickets
620,11,Nov 8 2014,7:05 PM,Sat,Iowa State,,@,Kansas,,,,Game Tickets
621,11,Nov 8 2014,7:05 PM,Sat,(14) Kansas State,,@,(12) Texas Christian,,,,Game Tickets
622,11,Nov 8 2014,12:00 PM,Sat,Louisiana Tech,,@,Alabama-Birmingham,,American Sports Network,,Game Tickets
623,11,Nov 8 2014,8:00 PM,Sat,Louisiana-Lafayette,,@,New Mexico State,,,,
624,11,Nov 8 2014,7:05 PM,Sat,Louisiana-Monroe,,@,Appalachian State,,,,
625,11,Nov 8 2014,7:05 PM,Sat,Louisville,,@,Boston College,,,,Game Tickets
626,11,Nov 8 2014,7:00 PM,Sat,(25) Marshall,,@,Southern Mississippi,,Sinclair,,Game Tickets
627,11,Nov 8 2014,7:05 PM,Sat,Michigan,,@,Northwestern,,,,Game Tickets
628,11,Nov 8 2014,7:05 PM,Sat,(5) Notre Dame,,@,(17) Arizona State,,,,Game Tickets
629,11,Nov 8 2014,8:00 PM,Sat,(13) Ohio State,,@,(8) Michigan State,,ABC,,Game Tickets
630,11,Nov 8 2014,7:05 PM,Sat,(9) Oregon,,@,(20) Utah,,,,Game Tickets
631,11,Nov 8 2014,7:05 PM,Sat,Penn State,,@,Indiana,,,,Game Tickets
632,11,Nov 8 2014,7:05 PM,Sat,Presbyterian,,@,(3) Mississippi,,,,Game Tickets
633,11,Nov 8 2014,10:30 PM,Sat,San Jose State,,@,Fresno State,,CBSSN,,Game Tickets
634,11,Nov 8 2014,3:00 PM,Sat,South Alabama,,@,Arkansas State,,,,
635,11,Nov 8 2014,7:05 PM,Sat,Southern Methodist,,@,Tulsa,,,,
636,11,Nov 8 2014,7:05 PM,Sat,Tennessee-Martin,,@,(1) Mississippi State,,,,Game Tickets
637,11,Nov 8 2014,7:05 PM,Sat,(21) Texas A&M,,@,(6) Auburn,,,,Game Tickets
638,11,Nov 8 2014,4:00 PM,Sat,Texas-El Paso,,@,Western Kentucky,,,,
639,11,Nov 8 2014,7:05 PM,Sat,Texas-San Antonio,,@,Rice,,FS1 or FSN,,
640,11,Nov 8 2014,7:05 PM,Sat,Tulane,,@,Houston,,,,Game Tickets
641,11,Nov 8 2014,7:05 PM,Sat,UCLA,,@,Washington,,,,Game Tickets
642,11,Nov 8 2014,7:05 PM,Sat,Virginia,,@,(2) Florida State,,,,Game Tickets
643,11,Nov 8 2014,7:05 PM,Sat,Washington State,,@,Oregon State,,,,Game Tickets
644,11,Nov 8 2014,7:05 PM,Sat,West Virginia,,@,Texas,,,,Game Tickets
645,11,Nov 8 2014,7:05 PM,Sat,Wisconsin,,@,Purdue,,,,Game Tickets
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes,
646,12,Nov 11 2014,8:00 PM,Tue,Akron,,@,Buffalo,,ESPN 2 or ESPN U,,Game Tickets
647,12,Nov 11 2014,8:00 PM,Tue,Toledo,,@,Northern Illinois,,ESPN 2 or ESPN U,,
648,12,Nov 12 2014,8:00 PM,Wed,Ball State,,@,Massachusetts,,ESPN 2 or ESPN U,,
649,12,Nov 12 2014,8:00 PM,Wed,Kent State,,@,Bowling Green State,,ESPN 2 or ESPN U,,
650,12,Nov 13 2014,9:00 PM,Thu,California,,@,(22) Southern California,,ESPN,,Game Tickets
651,12,Nov 13 2014,7:00 PM,Thu,(18) East Carolina,,,Cincinnati,,ESPN 2,Paul Brown Stadium - Cincinnati OH,Game Tickets
652,12,Nov 13 2014,8:00 PM,Thu,Southern Mississippi,,@,Texas-San Antonio,,CBSSN,,
653,12,Nov 14 2014,8:00 PM,Fri,Tulsa,,@,Central Florida,,ESPN 2,,Game Tickets
654,12,Nov 15 2014,3:00 PM,Sat,Appalachian State,,@,Arkansas State,,,,
655,12,Nov 15 2014,7:05 PM,Sat,(17) Arizona State,,@,Oregon State,,,,Game Tickets
656,12,Nov 15 2014,12:00 PM,Sat,Army,,@,Western Kentucky,,CBSSN,,
657,12,Nov 15 2014,7:05 PM,Sat,(6) Auburn,,@,(10) Georgia,,,,Game Tickets
658,12,Nov 15 2014,7:05 PM,Sat,(24) Clemson,,@,Georgia Tech,,,,Game Tickets
659,12,Nov 15 2014,7:05 PM,Sat,Eastern Michigan,,@,Western Michigan,,,,
660,12,Nov 15 2014,7:05 PM,Sat,(2) Florida State,,@,Miami (FL),,,,Game Tickets
661,12,Nov 15 2014,3:30 PM,Sat,Georgia Southern,,@,Navy,,CBSSN,,Game Tickets
662,12,Nov 15 2014,4:30 PM,Sat,Hawaii,,@,San Jose State,,,,Game Tickets
663,12,Nov 15 2014,7:05 PM,Sat,Indiana,,@,Rutgers,,,,Game Tickets
664,12,Nov 15 2014,7:05 PM,Sat,Iowa,,@,Illinois,,,,Game Tickets
665,12,Nov 15 2014,7:05 PM,Sat,Kentucky,,@,Tennessee,,,,Game Tickets
666,12,Nov 15 2014,7:05 PM,Sat,Louisiana State,,@,Arkansas,,,,Game Tickets
667,12,Nov 15 2014,7:00 PM,Sat,Louisiana-Lafayette,,@,Louisiana-Monroe,,,,
668,12,Nov 15 2014,7:05 PM,Sat,Memphis,,@,Tulane,,,,Game Tickets
669,12,Nov 15 2014,7:05 PM,Sat,Miami (OH),,@,Central Michigan,,,,Game Tickets
670,12,Nov 15 2014,8:00 PM,Sat,(8) Michigan State,,@,Maryland,,Big Ten Network,,Game Tickets
671,12,Nov 15 2014,3:30 PM,Sat,Middle Tennessee State,,@,Florida International,,American Sports Network,,
672,12,Nov 15 2014,7:05 PM,Sat,(1) Mississippi State,,@,(7) Alabama,,,,Game Tickets
673,12,Nov 15 2014,7:05 PM,Sat,Missouri,,@,(21) Texas A&M,,,,Game Tickets
674,12,Nov 15 2014,7:05 PM,Sat,(19) Nebraska,,@,Wisconsin,,,,Game Tickets
675,12,Nov 15 2014,2:00 PM,Sat,Nevada,,@,Air Force,,ROOT Sports,,
676,12,Nov 15 2014,7:05 PM,Sat,Nevada-Las Vegas,,@,Brigham Young,,,,Game Tickets
677,12,Nov 15 2014,7:05 PM,Sat,New Mexico,,@,Utah State,,ESPN Networks,,Game Tickets
678,12,Nov 15 2014,7:05 PM,Sat,North Texas,,@,Texas-El Paso,,FS1 or FSN,,
679,12,Nov 15 2014,3:30 PM,Sat,Northwestern,,@,(5) Notre Dame,,NBC,,Game Tickets
680,12,Nov 15 2014,7:05 PM,Sat,(13) Ohio State,,@,Minnesota,,,,Game Tickets
681,12,Nov 15 2014,7:05 PM,Sat,(11) Oklahoma,,@,Texas Tech,,,,Game Tickets
682,12,Nov 15 2014,7:05 PM,Sat,Pittsburgh,,@,North Carolina,,,,Game Tickets
683,12,Nov 15 2014,7:05 PM,Sat,Rice,,@,(25) Marshall,,FS1 or FSN,,Game Tickets
684,12,Nov 15 2014,7:05 PM,Sat,San Diego State,,@,Boise State,,ESPN Networks,,Game Tickets
685,12,Nov 15 2014,7:05 PM,Sat,South Carolina,,@,Florida,,,,Game Tickets
686,12,Nov 15 2014,7:05 PM,Sat,South Florida,,@,Southern Methodist,,,,
687,12,Nov 15 2014,7:05 PM,Sat,Temple,,@,Penn State,,,,Game Tickets
688,12,Nov 15 2014,7:05 PM,Sat,Texas,,@,(15) Oklahoma State,,,,Game Tickets
689,12,Nov 15 2014,7:05 PM,Sat,(12) Texas Christian,,@,Kansas,,,,Game Tickets
690,12,Nov 15 2014,7:05 PM,Sat,Texas State,,@,South Alabama,,,,
691,12,Nov 15 2014,5:00 PM,Sat,Troy,,@,Idaho,,,,Game Tickets
692,12,Nov 15 2014,7:05 PM,Sat,(20) Utah,,@,(23) Stanford,,,,Game Tickets
693,12,Nov 15 2014,7:05 PM,Sat,Virginia Tech,,@,Duke,,,,Game Tickets
694,12,Nov 15 2014,7:05 PM,Sat,Wake Forest,,@,North Carolina State,,,,Game Tickets
695,12,Nov 15 2014,7:05 PM,Sat,Washington,,@,(16) Arizona,,,,Game Tickets
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes,
696,13,Nov 18 2014,8:00 PM,Tue,Massachusetts,,@,Akron,,ESPN3.com,,
697,13,Nov 18 2014,8:00 PM,Tue,Northern Illinois,,@,Ohio,,ESPN U or ESPN3.com,,
698,13,Nov 19 2014,8:00 PM,Wed,Bowling Green State,,@,Toledo,,ESPN 2 or ESPN U,,
699,13,Nov 19 2014,8:00 PM,Wed,Kent State,,@,Buffalo,,ESPN 2 or ESPN U,,Game Tickets
700,13,Nov 20 2014,9:30 PM,Thu,Arkansas State,,@,Texas State,,ESPN U,,Game Tickets
701,13,Nov 20 2014,7:00 PM,Thu,(14) Kansas State,,@,West Virginia,,FS1,,Game Tickets
702,13,Nov 20 2014,7:30 PM,Thu,North Carolina,,@,Duke,,ESPN,,Game Tickets
703,13,Nov 21 2014,9:30 PM,Fri,Air Force,,@,San Diego State,,CBSSN,,Game Tickets
704,13,Nov 21 2014,9:30 PM,Fri,San Jose State,,@,Utah State,,ESPN 2,,
705,13,Nov 21 2014,8:00 PM,Fri,Texas-El Paso,,@,Rice,,FS1,,Game Tickets
706,13,Nov 22 2014,7:05 PM,Sat,Appalachian State,,@,Louisiana-Lafayette,,,,
707,13,Nov 22 2014,7:05 PM,Sat,(16) Arizona,,@,(20) Utah,,,,Game Tickets
708,13,Nov 22 2014,7:05 PM,Sat,Boise State,,@,Wyoming,,ESPN Networks,,Game Tickets
709,13,Nov 22 2014,7:05 PM,Sat,Boston College,,@,(2) Florida State,,,,Game Tickets
710,13,Nov 22 2014,7:05 PM,Sat,Charleston Southern,,@,(10) Georgia,,,,Game Tickets
711,13,Nov 22 2014,7:05 PM,Sat,Cincinnati,,@,Connecticut,,,,
712,13,Nov 22 2014,7:05 PM,Sat,Colorado,,@,(9) Oregon,,,,Game Tickets
713,13,Nov 22 2014,7:05 PM,Sat,Eastern Kentucky,,@,Florida,,,,Game Tickets
714,13,Nov 22 2014,7:05 PM,Sat,Eastern Michigan,,@,Ball State,,,,
715,13,Nov 22 2014,7:00 PM,Sat,Florida Atlantic,,@,Middle Tennessee State,,American Sports Network,,
716,13,Nov 22 2014,3:30 PM,Sat,Florida International,,@,North Texas,,American Sports Network,,
717,13,Nov 22 2014,12:00 PM,Sat,Fordham,,@,Army,,CBSSN,,Game Tickets
718,13,Nov 22 2014,7:05 PM,Sat,Fresno State,,@,Nevada,,ESPN Networks,,Game Tickets
719,13,Nov 22 2014,7:05 PM,Sat,Georgia State,,@,(24) Clemson,,,,Game Tickets
720,13,Nov 22 2014,7:05 PM,Sat,Indiana,,@,(13) Ohio State,,,,Game Tickets
721,13,Nov 22 2014,7:05 PM,Sat,Kansas,,@,(11) Oklahoma,,,,Game Tickets
722,13,Nov 22 2014,1:00 PM,Sat,Louisiana Tech,,@,Old Dominion,,FCS,,Game Tickets
723,13,Nov 22 2014,8:00 PM,Sat,Louisiana-Monroe,,@,New Mexico State,,,,
724,13,Nov 22 2014,3:30 PM,Sat,Louisville,,@,(5) Notre Dame,,NBC,,Game Tickets
725,13,Nov 22 2014,1:00 PM,Sat,(25) Marshall,,@,Alabama-Birmingham,,,,Game Tickets
726,13,Nov 22 2014,7:05 PM,Sat,Maryland,,@,Michigan,,,,Game Tickets
727,13,Nov 22 2014,7:05 PM,Sat,Miami (FL),,@,Virginia,,,,Game Tickets
728,13,Nov 22 2014,7:05 PM,Sat,Minnesota,,@,(19) Nebraska,,,,Game Tickets
729,13,Nov 22 2014,7:05 PM,Sat,(3) Mississippi,,@,Arkansas,,,,Game Tickets
730,13,Nov 22 2014,7:05 PM,Sat,Missouri,,@,Tennessee,,,,Game Tickets
731,13,Nov 22 2014,11:00 PM,Sat,Nevada-Las Vegas,,@,Hawaii,,Mountain West Network,,Game Tickets
732,13,Nov 22 2014,1:30 PM,Sat,New Mexico,,@,Colorado State,,ROOT Sports,,Game Tickets
733,13,Nov 22 2014,7:05 PM,Sat,Northwestern,,@,Purdue,,,,Game Tickets
734,13,Nov 22 2014,7:05 PM,Sat,(15) Oklahoma State,,@,(4) Baylor,,,,Game Tickets
735,13,Nov 22 2014,7:05 PM,Sat,Oregon State,,@,Washington,,,,Game Tickets
736,13,Nov 22 2014,7:05 PM,Sat,Penn State,,@,Illinois,,,,Game Tickets
737,13,Nov 22 2014,7:05 PM,Sat,Rutgers,,@,(8) Michigan State,,,,Game Tickets
738,13,Nov 22 2014,7:05 PM,Sat,Samford,,@,(6) Auburn,,,,Game Tickets
739,13,Nov 22 2014,3:00 PM,Sat,Savannah State,,@,Brigham Young,,BYUtv,,Game Tickets
740,13,Nov 22 2014,7:05 PM,Sat,South Alabama,,@,South Carolina,,,,
741,13,Nov 22 2014,7:05 PM,Sat,South Florida,,@,Memphis,,,,Game Tickets
742,13,Nov 22 2014,7:05 PM,Sat,(22) Southern California,,@,UCLA,,,,Game Tickets
743,13,Nov 22 2014,7:05 PM,Sat,Southern Methodist,,@,Central Florida,,,,Game Tickets
744,13,Nov 22 2014,7:05 PM,Sat,(23) Stanford,,@,California,,,,Game Tickets
745,13,Nov 22 2014,7:05 PM,Sat,Syracuse,,@,Pittsburgh,,,,Game Tickets
746,13,Nov 22 2014,7:05 PM,Sat,Texas Tech,,@,Iowa State,,,,Game Tickets
747,13,Nov 22 2014,2:00 PM,Sat,Texas-San Antonio,,@,Western Kentucky,,,,
748,13,Nov 22 2014,7:05 PM,Sat,Tulane,,@,(18) East Carolina,,,,Game Tickets
749,13,Nov 22 2014,7:05 PM,Sat,Tulsa,,@,Houston,,,,Game Tickets
750,13,Nov 22 2014,7:05 PM,Sat,Vanderbilt,,@,(1) Mississippi State,,,,Game Tickets
751,13,Nov 22 2014,7:05 PM,Sat,Virginia Tech,,@,Wake Forest,,,,Game Tickets
752,13,Nov 22 2014,7:05 PM,Sat,Washington State,,@,(17) Arizona State,,,,Game Tickets
753,13,Nov 22 2014,7:05 PM,Sat,Western Carolina,,@,(7) Alabama,,,,
754,13,Nov 22 2014,7:05 PM,Sat,Western Michigan,,@,Central Michigan,,,,
755,13,Nov 22 2014,7:05 PM,Sat,Wisconsin,,@,Iowa,,,,Game Tickets
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes,
756,14,Nov 25 2014,7:00 PM,Tue,Akron,,@,Kent State,,ESPN 2 or ESPN3.com,,
757,14,Nov 25 2014,7:00 PM,Tue,Ohio,,@,Miami (OH),,ESPN 2 or ESPN3.com,,Game Tickets
758,14,Nov 27 2014,7:30 PM,Thu,Louisiana State,,@,(21) Texas A&M,,ESPN,,Game Tickets
759,14,Nov 27 2014,7:30 PM,Thu,(12) Texas Christian,,@,Texas,,FS1,,Game Tickets
760,14,Nov 28 2014,3:30 PM,Fri,(17) Arizona State,,@,(16) Arizona,,FOX,,Game Tickets
761,14,Nov 28 2014,2:30 PM,Fri,Arkansas,,@,Missouri,,CBS,,Game Tickets
762,14,Nov 28 2014,7:05 PM,Fri,Ball State,,@,Bowling Green State,,ESPN U or ESPN3.com,,
763,14,Nov 28 2014,7:05 PM,Fri,Buffalo,,@,Massachusetts,,ESPN U or ESPN3.com,,
764,14,Nov 28 2014,7:05 PM,Fri,Central Florida,,@,South Florida,,,,Game Tickets
765,14,Nov 28 2014,3:30 PM,Fri,Colorado State,,@,Air Force,,CBSSN,,Game Tickets
766,14,Nov 28 2014,7:05 PM,Fri,(18) East Carolina,,@,Tulsa,,,,Game Tickets
767,14,Nov 28 2014,7:05 PM,Fri,Houston,,@,Southern Methodist,,,,
768,14,Nov 28 2014,7:05 PM,Fri,Navy,,@,South Alabama,,ESPN3.com,,
769,14,Nov 28 2014,7:05 PM,Fri,Northern Illinois,,@,Western Michigan,,ESPN U or ESPN3.com,,
770,14,Nov 28 2014,3:30 PM,Fri,(23) Stanford,,@,UCLA,,ABC,,Game Tickets
771,14,Nov 28 2014,7:05 PM,Fri,Toledo,,@,Eastern Michigan,,ESPN U or ESPN3.com,,
772,14,Nov 28 2014,7:05 PM,Fri,Virginia,,@,Virginia Tech,,,,Game Tickets
773,14,Nov 28 2014,12:00 PM,Fri,Western Kentucky,,@,(25) Marshall,,FS1,,
774,14,Nov 29 2014,3:30 PM,Sat,Alabama-Birmingham,,@,Southern Mississippi,,American Sports Network,,Game Tickets
775,14,Nov 29 2014,7:05 PM,Sat,(6) Auburn,,@,(7) Alabama,,,,Game Tickets
776,14,Nov 29 2014,7:05 PM,Sat,Brigham Young,,@,California,,,,Game Tickets
