Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes,
77,1,Aug 30 2014,8:00 PM,Sat,Texas-El Paso,31,@,New Mexico,24,Mountain West Network,,
78,1,Aug 30 2014,7:00 PM,Sat,Toledo,54,,New Hampshire,20,ESPN3.com,,
79,1,Aug 30 2014,12:00 PM,Sat,(7) UCLA,28,@,Virginia,20,ESPN,,
80,1,Aug 30 2014,4:00 PM,Sat,Virginia Tech,34,,William & Mary,9,ESPNews,,
81,1,Aug 30 2014,10:30 PM,Sat,(25) Washington,17,@,Hawaii,16,CBSSN,,
82,1,Aug 30 2014,4:00 PM,Sat,Wyoming,17,,Montana,12,ROOT Sports,,
83,1,Aug 31 2014,7:30 PM,Sun,(10) Baylor,45,,Southern Methodist,0,FS1,,
84,1,Aug 31 2014,7:00 PM,Sun,Tennessee,38,,Utah State,7,SEC Network,,
85,1,Sep 1 2014,8:00 PM,Mon,(25) Louisville,31,,Miami (FL),13,ESPN,,
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes,
86,2,Sep 4 2014,8:00 PM,Thu,Arizona,26,@,Texas-San Antonio,23,FS1,,
87,2,Sep 5 2014,10:30 PM,Fri,Nevada,24,,Washington State,13,ESPN,,
88,2,Sep 5 2014,7:00 PM,Fri,Pittsburgh,30,@,Boston College,20,ESPN,,
89,2,Sep 6 2014,12:00 PM,Sat,(2) Alabama,41,,Florida Atlantic,0,SEC Network,,
90,2,Sep 6 2014,6:00 PM,Sat,Appalachian State,66,,Campbell,0,ESPN3.com,,
91,2,Sep 6 2014,7:00 PM,Sat,(17) Arizona State,58,@,New Mexico,23,CBSSN,,
92,2,Sep 6 2014,4:00 PM,Sat,Arkansas,73,,Nicholls State,7,SEC Network,,
93,2,Sep 6 2014,12:00 PM,Sat,Army,47,,Buffalo,39,CBSSN,,
94,2,Sep 6 2014,7:00 PM,Sat,(5) Auburn,59,,San Jose State,13,ESPN 2,,
95,2,Sep 6 2014,7:45 PM,Sat,(10) Baylor,70,,Northwestern State,6,FSN MSG,,
96,2,Sep 6 2014,10:15 PM,Sat,Boise State,37,,Colorado State,24,ESPN 2,,
97,2,Sep 6 2014,3:30 PM,Sat,Bowling Green State,48,,Virginia Military Institute,7,ESPN3.com,,
98,2,Sep 6 2014,7:30 PM,Sat,Brigham Young,41,@,Texas,7,FS1,,
