Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
110,2,Sep 10 2011,,Sat,Navy,12:00 AM,@,Western Kentucky,14,
111,2,Sep 10 2011,,Sat,(10) Nebraska,12:00 AM,,Fresno State,29,
112,2,Sep 10 2011,,Sat,New Mexico State,12:00 AM,@,Minnesota,21,
113,2,Sep 10 2011,,Sat,North Carolina,12:00 AM,,Rutgers,22,
114,2,Sep 10 2011,,Sat,Northwestern,12:00 AM,,Eastern Illinois,21,
115,2,Sep 10 2011,,Sat,Ohio,12:00 AM,,Gardner-Webb,3,
116,2,Sep 10 2011,,Sat,(15) Ohio State,12:00 AM,,Toledo,22,
117,2,Sep 10 2011,,Sat,(13) Oregon,12:00 AM,,Nevada,20,
118,2,Sep 10 2011,,Sat,Pittsburgh,12:00 AM,,Maine,29,
119,2,Sep 10 2011,,Sat,Rice,12:00 AM,,Purdue,22,
120,2,Sep 10 2011,,Sat,San Diego State,12:00 AM,@,Army,20,
121,2,Sep 10 2011,,Sat,(12) South Carolina,12:00 AM,@,Georgia,42,
122,2,Sep 10 2011,,Sat,(22) South Florida,12:00 AM,,Ball State,7,
123,2,Sep 10 2011,,Sat,Southern California,12:00 AM,,Utah,14,
124,2,Sep 10 2011,,Sat,Southern Methodist,12:00 AM,,Texas-El Paso,17,
125,2,Sep 10 2011,,Sat,(6) Stanford,12:00 AM,@,Duke,14,
126,2,Sep 10 2011,,Sat,Syracuse,12:00 AM,,Rhode Island,14,
127,2,Sep 10 2011,,Sat,Temple,12:00 AM,@,Akron,3,
128,2,Sep 10 2011,,Sat,Tennessee,12:00 AM,,Cincinnati,23,
129,2,Sep 10 2011,,Sat,(24) Texas,12:00 AM,,Brigham Young,16,
130,2,Sep 10 2011,,Sat,(25) Texas Christian,12:00 AM,@,Air Force,19,
131,2,Sep 10 2011,,Sat,Tulsa,12:00 AM,@,Tulane,3,
