Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
635,11,Nov 12 2011,,Sat,Vanderbilt,12:00 AM,,Kentucky,8,
636,11,Nov 12 2011,,Sat,Virginia,12:00 AM,,Duke,21,
637,11,Nov 12 2011,,Sat,Washington State,12:00 AM,,Arizona State,27,
638,11,Nov 12 2011,,Sat,West Virginia,12:00 AM,@,(23) Cincinnati,21,
639,11,Nov 12 2011,,Sat,(16) Wisconsin,12:00 AM,@,Minnesota,13,
640,11,Nov 12 2011,,Sat,Wyoming,12:00 AM,@,Air Force,17,
Rk,Wk,Date,,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
641,12,Nov 15 2011,,Tue,Northern Illinois,12:00 AM,,Ball State,38,
642,12,Nov 16 2011,,Wed,Ohio,12:00 AM,@,Bowling Green State,28,
643,12,Nov 16 2011,,Wed,Western Michigan,12:00 AM,@,Miami (OH),21,
644,12,Nov 17 2011,,Thu,Alabama-Birmingham,12:00 AM,,(22) Southern Mississippi,31,
645,12,Nov 17 2011,,Thu,Marshall,12:00 AM,@,Memphis,22,
646,12,Nov 17 2011,,Thu,(9) Virginia Tech,12:00 AM,,North Carolina,21,
647,12,Nov 18 2011,,Fri,Iowa State,12:00 AM,,(2) Oklahoma State,31,
648,12,Nov 18 2011,,Fri,Toledo,12:00 AM,@,Central Michigan,17,
649,12,Nov 19 2011,,Sat,Air Force,12:00 AM,,Nevada-Las Vegas,17,
650,12,Nov 19 2011,,Sat,(3) Alabama,12:00 AM,,Georgia Southern,21,
651,12,Nov 19 2011,,Sat,Arizona,12:00 AM,@,Arizona State,27,
652,12,Nov 19 2011,,Sat,(6) Arkansas,12:00 AM,,Mississippi State,17,Little Rock AR
653,12,Nov 19 2011,,Sat,Arkansas State,12:00 AM,@,Middle Tennessee State,19,
654,12,Nov 19 2011,,Sat,Auburn,12:00 AM,,Samford,16,
655,12,Nov 19 2011,,Sat,(25) Baylor,12:00 AM,,(5) Oklahoma,38,
656,12,Nov 19 2011,,Sat,(10) Boise State,12:00 AM,@,San Diego State,35,
657,12,Nov 19 2011,,Sat,Brigham Young,12:00 AM,,New Mexico State,7,
658,12,Nov 19 2011,,Sat,Buffalo,12:00 AM,,Akron,10,
659,12,Nov 19 2011,,Sat,East Carolina,12:00 AM,,Central Florida,31,
660,12,Nov 19 2011,,Sat,Florida,12:00 AM,,Furman,32,
661,12,Nov 19 2011,,Sat,Florida International,12:00 AM,@,Louisiana-Monroe,17,
662,12,Nov 19 2011,,Sat,Fresno State,12:00 AM,@,Hawaii,21,
663,12,Nov 19 2011,,Sat,(13) Georgia,12:00 AM,,Kentucky,10,
664,12,Nov 19 2011,,Sat,Georgia Tech,12:00 AM,@,Duke,31,
665,12,Nov 19 2011,,Sat,(11) Houston,12:00 AM,,Southern Methodist,7,
666,12,Nov 19 2011,,Sat,Iowa,12:00 AM,@,Purdue,21,
667,12,Nov 19 2011,,Sat,(16) Kansas State,12:00 AM,@,Texas,13,
668,12,Nov 19 2011,,Sat,Kent State,12:00 AM,,Eastern Michigan,22,
669,12,Nov 19 2011,,Sat,(1) Louisiana State,12:00 AM,@,Mississippi,3,
670,12,Nov 19 2011,,Sat,Louisiana Tech,12:00 AM,@,Nevada,20,
671,12,Nov 19 2011,,Sat,Louisville,12:00 AM,@,Connecticut,20,
672,12,Nov 19 2011,,Sat,Miami (FL),12:00 AM,@,South Florida,3,
673,12,Nov 19 2011,,Sat,(20) Michigan,12:00 AM,,(17) Nebraska,17,
674,12,Nov 19 2011,,Sat,(12) Michigan State,12:00 AM,,Indiana,3,
675,12,Nov 19 2011,,Sat,Missouri,12:00 AM,,Texas Tech,27,
676,12,Nov 19 2011,,Sat,North Carolina State,12:00 AM,,(7) Clemson,13,
677,12,Nov 19 2011,,Sat,Northwestern,12:00 AM,,Minnesota,13,
678,12,Nov 19 2011,,Sat,(24) Notre Dame,12:00 AM,,Boston College,14,
679,12,Nov 19 2011,,Sat,Oregon State,12:00 AM,,Washington,21,
680,12,Nov 19 2011,,Sat,(21) Penn State,12:00 AM,@,Ohio State,14,
681,12,Nov 19 2011,,Sat,Rice,12:00 AM,,Tulane,7,
682,12,Nov 19 2011,,Sat,Rutgers,12:00 AM,,Cincinnati,3,
683,12,Nov 19 2011,,Sat,San Jose State,12:00 AM,,Navy,24,
684,12,Nov 19 2011,,Sat,(14) South Carolina,12:00 AM,,Citadel,20,
685,12,Nov 19 2011,,Sat,(18) Southern California,12:00 AM,@,(4) Oregon,35,
686,12,Nov 19 2011,,Sat,(8) Stanford,12:00 AM,,California,28,
687,12,Nov 19 2011,,Sat,Temple,12:00 AM,,Army,14,
688,12,Nov 19 2011,,Sat,Tennessee,12:00 AM,,Vanderbilt,21,
689,12,Nov 19 2011,,Sat,Texas A&M,12:00 AM,,Kansas,7,
690,12,Nov 19 2011,,Sat,(19) Texas Christian,12:00 AM,,Colorado State,10,
691,12,Nov 19 2011,,Sat,Troy,12:00 AM,,Florida Atlantic,7,
692,12,Nov 19 2011,,Sat,Tulsa,12:00 AM,@,Texas-El Paso,28,
693,12,Nov 19 2011,,Sat,UCLA,12:00 AM,,Colorado,6,
694,12,Nov 19 2011,,Sat,Utah,12:00 AM,@,Washington State,27,
695,12,Nov 19 2011,,Sat,Utah State,12:00 AM,@,Idaho,42,
696,12,Nov 19 2011,,Sat,Virginia,12:00 AM,@,(23) Florida State,13,
697,12,Nov 19 2011,,Sat,Wake Forest,12:00 AM,,Maryland,10,
698,12,Nov 19 2011,,Sat,Western Kentucky,12:00 AM,@,North Texas,21,
699,12,Nov 19 2011,,Sat,(15) Wisconsin,12:00 AM,@,Illinois,17,
700,12,Nov 19 2011,,Sat,Wyoming,12:00 AM,,New Mexico,10,
Rk,Wk,Date,,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
701,13,Nov 22 2011,,Tue,Ohio,12:00 AM,,Miami (OH),14,
702,13,Nov 24 2011,,Thu,Texas,12:00 AM,@,Texas A&M,25,
703,13,Nov 25 2011,,Fri,Boston College,12:00 AM,@,Miami (FL),17,
704,13,Nov 25 2011,,Fri,Bowling Green State,12:00 AM,@,Buffalo,28,
705,13,Nov 25 2011,,Fri,California,12:00 AM,@,Arizona State,38,
706,13,Nov 25 2011,,Fri,Central Florida,12:00 AM,,Texas-El Paso,14,
707,13,Nov 25 2011,,Fri,Colorado,12:00 AM,@,Utah,14,
708,13,Nov 25 2011,,Fri,(8) Houston,12:00 AM,@,Tulsa,16,
709,13,Nov 25 2011,,Fri,(1) Louisiana State,12:00 AM,,(3) Arkansas,17,
710,13,Nov 25 2011,,Fri,Louisville,12:00 AM,@,South Florida,24,
711,13,Nov 25 2011,,Fri,(22) Nebraska,12:00 AM,,Iowa,7,
712,13,Nov 25 2011,,Fri,Northern Illinois,12:00 AM,,Eastern Michigan,12,
713,13,Nov 25 2011,,Fri,Temple,12:00 AM,,Kent State,16,
714,13,Nov 25 2011,,Fri,Toledo,12:00 AM,@,Ball State,28,
715,13,Nov 25 2011,,Fri,West Virginia,12:00 AM,,Pittsburgh,20,
716,13,Nov 25 2011,,Fri,Western Michigan,12:00 AM,,Akron,19,
717,13,Nov 26 2011,,Sat,Air Force,12:00 AM,@,Colorado State,21,
718,13,Nov 26 2011,,Sat,(2) Alabama,12:00 AM,@,Auburn,14,
719,13,Nov 26 2011,,Sat,Arizona,12:00 AM,,Louisiana-Lafayette,37,
720,13,Nov 26 2011,,Sat,(21) Baylor,12:00 AM,,Texas Tech,42,Arlington TX
721,13,Nov 26 2011,,Sat,(7) Boise State,12:00 AM,,Wyoming,14,
722,13,Nov 26 2011,,Sat,Cincinnati,12:00 AM,@,Syracuse,13,
723,13,Nov 26 2011,,Sat,Connecticut,12:00 AM,,Rutgers,22,
724,13,Nov 26 2011,,Sat,Florida Atlantic,12:00 AM,,Alabama-Birmingham,35,
725,13,Nov 26 2011,,Sat,Florida International,12:00 AM,@,Middle Tennessee State,18,
726,13,Nov 26 2011,,Sat,Florida State,12:00 AM,@,Florida,7,
727,13,Nov 26 2011,,Sat,(13) Georgia,12:00 AM,@,(25) Georgia Tech,17,
728,13,Nov 26 2011,,Sat,Hawaii,12:00 AM,,Tulane,23,
729,13,Nov 26 2011,,Sat,Kentucky,12:00 AM,,Tennessee,7,
730,13,Nov 26 2011,,Sat,Louisiana Tech,12:00 AM,,New Mexico State,0,
731,13,Nov 26 2011,,Sat,Marshall,12:00 AM,,East Carolina,27,
732,13,Nov 26 2011,,Sat,(17) Michigan,12:00 AM,,Ohio State,34,
733,13,Nov 26 2011,,Sat,(11) Michigan State,12:00 AM,@,Northwestern,17,
734,13,Nov 26 2011,,Sat,Minnesota,12:00 AM,,Illinois,7,
735,13,Nov 26 2011,,Sat,Mississippi State,12:00 AM,,Mississippi,3,
736,13,Nov 26 2011,,Sat,Missouri,12:00 AM,,Kansas,10,Kansas City MO
737,13,Nov 26 2011,,Sat,North Carolina,12:00 AM,,Duke,21,
738,13,Nov 26 2011,,Sat,North Carolina State,12:00 AM,,Maryland,41,
739,13,Nov 26 2011,,Sat,(12) Oklahoma,12:00 AM,,Iowa State,6,
740,13,Nov 26 2011,,Sat,(9) Oregon,12:00 AM,,Oregon State,21,
741,13,Nov 26 2011,,Sat,Purdue,12:00 AM,@,Indiana,25,
742,13,Nov 26 2011,,Sat,San Diego State,12:00 AM,@,Nevada-Las Vegas,14,
743,13,Nov 26 2011,,Sat,San Jose State,12:00 AM,@,Fresno State,24,
744,13,Nov 26 2011,,Sat,(14) South Carolina,12:00 AM,,(18) Clemson,13,
745,13,Nov 26 2011,,Sat,(10) Southern California,12:00 AM,,UCLA,0,
746,13,Nov 26 2011,,Sat,Southern Methodist,12:00 AM,,Rice,24,
747,13,Nov 26 2011,,Sat,Southern Mississippi,12:00 AM,,Memphis,7,
748,13,Nov 26 2011,,Sat,(4) Stanford,12:00 AM,,(22) Notre Dame,14,
749,13,Nov 26 2011,,Sat,Utah State,12:00 AM,,Nevada,17,
750,13,Nov 26 2011,,Sat,Vanderbilt,12:00 AM,@,Wake Forest,7,
751,13,Nov 26 2011,,Sat,(6) Virginia Tech,12:00 AM,@,(24) Virginia,0,
752,13,Nov 26 2011,,Sat,Washington,12:00 AM,,Washington State,21,
753,13,Nov 26 2011,,Sat,Western Kentucky,12:00 AM,,Troy,18,
754,13,Nov 26 2011,,Sat,(15) Wisconsin,12:00 AM,,(20) Penn State,7,
Rk,Wk,Date,,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
755,14,Dec 1 2011,,Thu,(22) West Virginia,12:00 AM,@,South Florida,27,
756,14,Dec 2 2011,,Fri,Northern Illinois,12:00 AM,,Ohio,20,MAC Championship (Detroit MI)
757,14,Dec 2 2011,,Fri,(8) Oregon,12:00 AM,,UCLA,31,Pac 12 Championship (Eugene OR)
758,14,Dec 3 2011,,Sat,Arkansas State,12:00 AM,,Troy,14,
759,14,Dec 3 2011,,Sat,(19) Baylor,12:00 AM,,Texas,24,
760,14,Dec 3 2011,,Sat,(9) Boise State,12:00 AM,,New Mexico,0,
761,14,Dec 3 2011,,Sat,Brigham Young,12:00 AM,@,Hawaii,20,
762,14,Dec 3 2011,,Sat,Cincinnati,12:00 AM,,Connecticut,27,
763,14,Dec 3 2011,,Sat,(21) Clemson,12:00 AM,,(5) Virginia Tech,10,ACC Championship (Charlotte NC)
764,14,Dec 3 2011,,Sat,(16) Kansas State,12:00 AM,,Iowa State,23,
765,14,Dec 3 2011,,Sat,(1) Louisiana State,12:00 AM,,(12) Georgia,10,SEC Championship (Atlanta GA)
766,14,Dec 3 2011,,Sat,Louisiana-Monroe,12:00 AM,@,Florida Atlantic,0,
767,14,Dec 3 2011,,Sat,Nevada,12:00 AM,,Idaho,3,
768,14,Dec 3 2011,,Sat,North Texas,12:00 AM,,Middle Tennessee State,7,
769,14,Dec 3 2011,,Sat,(3) Oklahoma State,12:00 AM,,(13) Oklahoma,10,
770,14,Dec 3 2011,,Sat,Pittsburgh,12:00 AM,,Syracuse,20,
771,14,Dec 3 2011,,Sat,San Diego State,12:00 AM,,Fresno State,28,
772,14,Dec 3 2011,,Sat,(24) Southern Mississippi,12:00 AM,@,(7) Houston,28,CUSA Championship (Houston TX)
773,14,Dec 3 2011,,Sat,(18) Texas Christian,12:00 AM,,Nevada-Las Vegas,9,
774,14,Dec 3 2011,,Sat,Utah State,12:00 AM,@,New Mexico State,21,
775,14,Dec 3 2011,,Sat,(15) Wisconsin,12:00 AM,,(11) Michigan State,39,Big Ten Championship (Indianapolis IN)
776,14,Dec 3 2011,,Sat,Wyoming,12:00 AM,@,Colorado State,19,
Rk,Wk,Date,,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
777,15,Dec 10 2011,,Sat,Navy,12:00 AM,,Army,21,Landover MD
Rk,Wk,Date,,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
778,16,Dec 17 2011,,Sat,Louisiana-Lafayette,12:00 AM,,San Diego State,30,New Orleans Bowl (New Orleans LA)
779,16,Dec 17 2011,,Sat,Ohio,12:00 AM,,Utah State,23,Famous Idaho Potato Bowl (Boise ID)
780,16,Dec 17 2011,,Sat,Temple,12:00 AM,,Wyoming,15,New Mexico Bowl (Albuquerque NM)
Rk,Wk,Date,,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
781,17,Dec 20 2011,,Tue,Marshall,12:00 AM,,Florida International,10,Beef O'Brady's Bowl (St. Petersburg FL)
782,17,Dec 21 2011,,Wed,(16) Texas Christian,12:00 AM,,Louisiana Tech,24,Poinsettia Bowl (San Diego CA)
783,17,Dec 22 2011,,Thu,(8) Boise State,12:00 AM,,Arizona State,24,Maaco Bowl (Las Vegas NV)
784,17,Dec 24 2011,,Sat,(22) Southern Mississippi,12:00 AM,,Nevada,17,Hawaii Bowl (Honolulu HI)
785,17,Dec 26 2011,,Mon,Missouri,12:00 AM,,North Carolina,24,Independence Bowl (Shreveport LA)
Rk,Wk,Date,,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
786,18,Dec 27 2011,,Tue,North Carolina State,12:00 AM,,Louisville,24,Belk Bowl (Charlotte NC)
787,18,Dec 27 2011,,Tue,Purdue,12:00 AM,,Western Michigan,32,Little Caesars Bowl (Detroit MI)
788,18,Dec 28 2011,,Wed,Texas,12:00 AM,,California,10,Holiday Bowl (San Diego CA)
789,18,Dec 28 2011,,Wed,Toledo,12:00 AM,,Air Force,41,Military Bowl (Washington DC)
790,18,Dec 29 2011,,Thu,(15) Baylor,12:00 AM,,Washington,56,Alamo Bowl (San Antonio TX)
791,18,Dec 29 2011,,Thu,(25) Florida State,12:00 AM,,Notre Dame,14,Champs Sports Bowl (Orlando FL)
792,18,Dec 30 2011,,Fri,Brigham Young,12:00 AM,,Tulsa,21,Armed Forces Bowl (Dallas TX)
793,18,Dec 30 2011,,Fri,Mississippi State,12:00 AM,,Wake Forest,17,Music City Bowl (Nashville TN)
794,18,Dec 30 2011,,Fri,(19) Oklahoma,12:00 AM,,Iowa,14,Insight Bowl (Tempe AZ)
795,18,Dec 30 2011,,Fri,Rutgers,12:00 AM,,Iowa State,13,Pinstripe Bowl (Bronx NY)
796,18,Dec 31 2011,,Sat,Auburn,12:00 AM,,Virginia,24,Chick-Fil-A Bowl (Atlanta GA)
797,18,Dec 31 2011,,Sat,Cincinnati,12:00 AM,,Vanderbilt,24,Liberty Bowl (Memphis TN)
798,18,Dec 31 2011,,Sat,Illinois,12:00 AM,,UCLA,14,Fight Hunger Bowl (San Francisco CA)
799,18,Dec 31 2011,,Sat,Texas A&M,12:00 AM,,Northwestern,22,Meineke Car Care Bowl of Texas (Houston TX)
800,18,Dec 31 2011,,Sat,Utah,12:00 AM,,Georgia Tech,27,Sun Bowl (El Paso TX)
Rk,Wk,Date,,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
801,19,Jan 2 2012,,Mon,Florida,12:00 AM,,Ohio State,17,Gator Bowl (Jacksonville FL)
802,19,Jan 2 2012,,Mon,(20) Houston,12:00 AM,,(24) Penn State,14,Ticket City Bowl (Dallas TX)
803,19,Jan 2 2012,,Mon,(12) Michigan State,12:00 AM,,(18) Georgia,30,Outback Bowl (Tampa FL)
804,19,Jan 2 2012,,Mon,(3) Oklahoma State,12:00 AM,,(4) Stanford,38,Fiesta Bowl (Glendale AZ)
805,19,Jan 2 2012,,Mon,(6) Oregon,12:00 AM,,(9) Wisconsin,38,Rose Bowl (Pasadena CA)
806,19,Jan 2 2012,,Mon,(10) South Carolina,12:00 AM,,(21) Nebraska,13,Capital One Bowl (Orlando FL)
Rk,Wk,Date,,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
807,20,Jan 3 2012,,Tue,(13) Michigan,12:00 AM,,(17) Virginia Tech,20,Sugar Bowl (New Orleans LA)
808,20,Jan 4 2012,,Wed,(23) West Virginia,12:00 AM,,(14) Clemson,33,Orange Bowl (Miami FL)
809,20,Jan 6 2012,,Fri,(7) Arkansas,12:00 AM,,(11) Kansas State,16,Cotton Bowl (Arlington TX)
810,20,Jan 7 2012,,Sat,Southern Methodist,12:00 AM,,Pittsburgh,6,BBVA Compass Bowl (Birmingham AL)
811,20,Jan 8 2012,,Sun,Northern Illinois,38,,Arkansas State,20,GoDaddy.com Bowl (Mobile AL)
812,20,Jan 9 2012,,Mon,(2) Alabama,12:00 AM,,(1) Louisiana State,0,BCS Championship (New Orleans LA)
815,18,Dec 27 2012,,,,Thu,Cincinnati,48,,Duke
816,18,Dec 27 2012,,,,Thu,(24) San Jose State,29,,Bowling Green State
817,18,Dec 28 2012,,,,Fri,Ohio,45,,Louisiana-Monroe
818,18,Dec 28 2012,,,,Fri,Texas Tech,34,,Minnesota
819,18,Dec 28 2012,,,,Fri,Virginia Tech,13,,Rutgers
820,18,Dec 29 2012,,,,Sat,Arizona State,62,,Navy
821,18,Dec 29 2012,,,,Sat,Michigan State,17,,Texas Christian
822,18,Dec 29 2012,,,,Sat,Rice,33,,Air Force
823,18,Dec 29 2012,,,,Sat,Syracuse,38,,West Virginia
824,18,Dec 29 2012,,,,Sat,Texas,31,,(15) Oregon State
Rk,Wk,Date,,,,Day,Winner/Tie,Pts,,Loser/Tie
825,19,Dec 31 2012,,,,Mon,(14) Clemson,25,,(9) Louisiana State
826,19,Dec 31 2012,,,,Mon,Georgia Tech,21,,Southern California
827,19,Dec 31 2012,,,,Mon,Tulsa,31,,Iowa State
828,19,Dec 31 2012,,,,Mon,Vanderbilt,38,,North Carolina State
Rk,Wk,Date,,,,Day,Winner/Tie,Pts,,Loser/Tie
829,20,Jan 1 2013,,,,Tue,(13) Florida State,31,,(16) Northern Illinois
830,20,Jan 1 2013,,,,Tue,(6) Georgia,45,,(23) Nebraska
831,20,Jan 1 2013,,,,Tue,(21) Northwestern,34,,Mississippi State
832,20,Jan 1 2013,,,,Tue,Oklahoma State,58,,Purdue
833,20,Jan 1 2013,,,,Tue,(11) South Carolina,33,,(19) Michigan
834,20,Jan 1 2013,,,,Tue,(8) Stanford,20,,Wisconsin
835,20,Jan 2 2013,,,,Wed,(22) Louisville,33,,(4) Florida
836,20,Jan 3 2013,,,,Thu,(5) Oregon,35,,(7) Kansas State
837,20,Jan 4 2013,,,,Fri,(10) Texas A&M,41,,(12) Oklahoma
838,20,Jan 5 2013,,,,Sat,Mississippi,38,,Pittsburgh
839,20,Jan 6 2013,,,,Sun,Arkansas State,17,,(25) Kent State
840,20,Jan 7 2013,,,,Mon,(2) Alabama,42,,(1) Notre Dame
841,20,Jan 1 2014,,,,12:00 PM,Wed,Nebraska,24,
842,20,Jan 1 2014,,,,12:00 PM,Wed,North Texas,36,
843,20,Jan 1 2014,,,,1:00 PM,Wed,(8) South Carolina,34,
844,20,Jan 2 2014,,,,8:30 PM,Thu,(11) Oklahoma,45,
845,20,Jan 3 2014,,,,8:30 PM,Fri,(12) Clemson,40,
846,20,Jan 3 2014,,,,8:10 PM,Fri,(9) Missouri,41,
847,20,Jan 4 2014,,,,1:00 PM,Sat,Vanderbilt,41,
848,20,Jan 5 2014,,,,9:00 PM,Sun,Arkansas State,23,
849,20,Jan 6 2014,,,,8:30 PM,Mon,(1) Florida State,34,
